Date,Name,Year,Letterboxd URI
2020-07-07,Life Is Beautiful,1997,https://boxd.it/29Wm
2020-07-07,A Beautiful Day in the Neighborhood,2019,https://boxd.it/i7vA
2020-07-08,Malena,2000,https://boxd.it/1Vc0
2020-07-08,Lawrence of Arabia,1962,https://boxd.it/2wRE
2020-07-08,At Eternity's Gate,2018,https://boxd.it/hI40
2020-07-08,The Artist,2011,https://boxd.it/2AwK
2020-07-08,The Battle of Algiers,1966,https://boxd.it/1IRY
2020-07-10,Flame & Citron,2008,https://boxd.it/1ZFU
2020-07-10,Jesus Camp,2006,https://boxd.it/28ac
2020-07-13,The Disaster Artist,2017,https://boxd.it/cTqc
2021-02-03,Oldboy,2003,https://boxd.it/29R2
2021-02-03,The Century of the Self,2002,https://boxd.it/BnA
2021-02-08,The Black Panthers: Vanguard of the Revolution,2015,https://boxd.it/akI2
2021-02-08,Come and See,1985,https://boxd.it/1w9q
2021-02-08,Band of Brothers,2001,https://boxd.it/aRNY
2021-02-08,For Sama,2019,https://boxd.it/l9wQ
2021-02-08,The Imagineering Story,2019,https://boxd.it/qp3q
2021-02-13,Wind River,2017,https://boxd.it/dR3i
2021-02-13,The Way Back,2020,https://boxd.it/jfoO
2021-02-13,When the Wind Blows,1986,https://boxd.it/1VdC
2021-02-19,The Exception,2020,https://boxd.it/iN00
2021-02-19,Green Book,2018,https://boxd.it/hErk
2021-02-25,Taxi Driver,1976,https://boxd.it/2b8y
2021-02-25,Eyes Wide Shut,1999,https://boxd.it/2axs
2021-03-05,The Bodyguard,1992,https://boxd.it/29Z6
2021-03-09,The Florida Project,2017,https://boxd.it/dMG0
2021-03-16,Where the Wild Things Are,2009,https://boxd.it/1K0C
2021-03-16,In the Name of the Father,1993,https://boxd.it/20I6
2021-03-16,Ivan Tsarevitch and the Changing Princess,2016,https://boxd.it/eQhA
2021-03-24,Battle Royale,2000,https://boxd.it/25zS
2021-04-01,The Lovely Bones,2009,https://boxd.it/20IA
2021-04-23,Sound of Metal,2019,https://boxd.it/i7Q4
2021-04-24,Anna,2019,https://boxd.it/hqQq
2021-06-09,Rocks,2019,https://boxd.it/l8Qg
2021-11-04,Robots,2005,https://boxd.it/1Xve
2021-11-07,I Dream in Another Language,2017,https://boxd.it/bZ5M
2021-11-13,My Dinner with Andre,1981,https://boxd.it/1vLe
2021-11-30,Anomalisa,2015,https://boxd.it/97TE
2021-12-21,Giant Bear,2019,https://boxd.it/qZYi
2021-12-28,Moon,2009,https://boxd.it/1IGQ
2022-01-06,Atanarjuat: The Fast Runner,2001,https://boxd.it/1Qyq
2022-02-08,Arrival,2016,https://boxd.it/aNGk
2022-02-21,Winter on Fire: Ukraine's Fight for Freedom,2015,https://boxd.it/bYWU
2022-03-12,Waking Life,2001,https://boxd.it/1Zdc
2022-03-20,"Theodora, Slave Empress",1954,https://boxd.it/8Evo
2022-03-20,Who Killed Captain Alex?,2010,https://boxd.it/adJ8
2022-03-20,Waltz with Bashir,2008,https://boxd.it/1ZFA
2022-03-20,Yellow Submarine,1968,https://boxd.it/1Sxa
2022-03-20,Mary and Max,2009,https://boxd.it/1y2m
2022-03-20,Paprika,2006,https://boxd.it/23wW
2022-03-20,The Illusionist,2010,https://boxd.it/ZWY
2022-03-20,The Illusionist,2006,https://boxd.it/28H6
2022-03-23,Moonstruck,1987,https://boxd.it/27zg
2022-03-23,Burlesque,2010,https://boxd.it/Xfo
2022-04-08,X,2022,https://boxd.it/sxVa
2022-06-01,What Ever Happened to Baby Jane?,1962,https://boxd.it/1WJE
2022-06-06,Blade Runner 2049,2017,https://boxd.it/b8wK
2022-06-15,Top Gun: Maverick,2022,https://boxd.it/cjr4
2022-06-15,Top Gun,1986,https://boxd.it/29JC
2022-06-20,The Triplets of Belleville,2003,https://boxd.it/1Y6Y
2022-06-27,Straw Dogs,1971,https://boxd.it/2982
2022-06-27,The Wild Bunch,1969,https://boxd.it/2a5y
2022-07-07,The Specials,2019,https://boxd.it/lifa
2022-07-31,RRR,2022,https://boxd.it/ljDs
2022-08-19,The Wolf House,2018,https://boxd.it/i1vE
2022-09-27,Sleepers,1996,https://boxd.it/29xw
2022-10-08,The Hand that Rocks the Cradle,1992,https://boxd.it/1UFK
2022-10-20,Ayla: The Daughter of War,2017,https://boxd.it/gWyw
2022-10-31,Office Space,1999,https://boxd.it/28Em
2022-11-14,All Quiet on the Western Front,2022,https://boxd.it/H08
