Date,Name,Year,Letterboxd URI
2022-10-10,Reservoir Dogs,1992,https://boxd.it/2agc
2022-10-10,Citizen Kane,1941,https://boxd.it/71O
2022-10-10,Adam's Apples,2005,https://boxd.it/297e
2022-10-10,Pusher,1996,https://boxd.it/27wG
2023-08-09,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA
2023-08-09,Vertigo,1958,https://boxd.it/2apI
2023-08-09,It's a Wonderful Life,1946,https://boxd.it/28xA
2023-08-09,Life Is Beautiful,1997,https://boxd.it/29Wm
2023-08-09,The Pianist,2002,https://boxd.it/2aqc
2023-08-09,Lost in Translation,2003,https://boxd.it/2b0E
2023-08-09,Eden Lake,2008,https://boxd.it/1Q1m
2023-08-28,Nina,2018,https://boxd.it/nCJy
2023-08-28,The Man Who Was Allowed to Leave,1995,https://boxd.it/6UU6
2023-08-28,Faith, Hope and Witchcraft,1960,https://boxd.it/84CS
2023-08-28,Færøerne.dk,2003,https://boxd.it/wjKU
2023-08-28,Rannvá,1975,https://boxd.it/xqNo
2023-08-28,Waves: A Portrait of Maria á Heygum,2010,https://boxd.it/8jRe
2023-08-28,Guilt,2014,https://boxd.it/bQYS
2023-08-28,Barbara,1997,https://boxd.it/4Tyu
2023-08-28,The Faroe Islands,1930,https://boxd.it/xFCA
2023-08-28,The Islands and the Whales,2016,https://boxd.it/dNe2
2023-08-28,A Taste of Whale,2022,https://boxd.it/zO1s
2023-08-28,Mythical Woman,2014,https://boxd.it/y6k4
2023-08-28,Boys,2016,https://boxd.it/pV4e
2023-08-28,Karmok,2012,https://boxd.it/cwDi
2023-08-28,Flee,2021,https://boxd.it/ponM
2023-08-28,Winter Morning,2014,https://boxd.it/7xum
2023-08-28,The Cigarette,2010,https://boxd.it/8jR4
2023-08-28,My Room,2008,https://boxd.it/dlNe
2023-08-28,Eina,2013,https://boxd.it/nlee
2023-10-11,Qivitoq,1956,https://boxd.it/2ocy
2023-10-11,Ivalu,2023,https://boxd.it/DqWW
2023-11-26,Pretty in Pink,1986,https://boxd.it/1TEw
2023-12-02,The Act of Killing,2012,https://boxd.it/44Cg
2023-12-13,The Thomas Crown Affair,1999,https://boxd.it/29im
